hgnc_symbol,OS P-Value,OS HR
ABCA2,0.0171,0.5358304173
FMOD,0.0179,1.7721668379
FSHB,0.0025,2.100298884
XRCC6,0.0224,4.1437184853
GAD1,0.0227,0.8174441881
GALK2,0.0208,0.2164192247
GDF1,0.0323,0.7265581126
GLDC,0.0043,0.7520445826
GLO1,0.0437,2.6998543583
GLUD1P3,0.0483,0.3739385424
GNAI1,0.0331,1.8701852864
GNG4,0.0186,0.6504925512
GNG7,0.0492,0.7113839359
GNG11,0.0241,1.6285503158
GNS,0.0336,0.5026355431
GPR35,0.0485,0.5132609818
FFAR2,0.0264,1.4861905874
GRB14,0.0114,1.6335069932
GRM2,0.0286,0.5855383304
GSTM3,0.0050,1.6710742389
GSTP1,0.0334,1.8840684386
MSH6,0.0259,10.339951382
HIST1H1A,0.0495,1.3919560364
HDAC2,0.0238,2.729362682
MNX1,0.0126,0.7065853874
HLA-L,0.0064,0.3550317885
HLCS,0.0189,0.1978788014
HMGB3,0.0255,2.1759426247
HOXB2,0.0260,0.6361475249
HOXD12,0.0234,0.7143552945
PRMT2,0.0097,0.2085528319
HSD17B3,0.0402,0.7753899528
HSPA7,0.0434,0.7578981891
ICA1,0.0202,0.4483707018
IDS,0.0399,0.3183486973
IFNAR2,0.0277,0.3942740736
IGLL1,0.0465,0.6933520019
CXCR1,0.0016,1.4791369839
CXCR2,0.0090,1.4361989134
INHA,0.0421,0.7636185297
ISL1,0.0222,1.2478951581
ITPR2,0.0448,0.6348529161
ITPR3,0.0018,0.3057478401
KCNJ9,0.0361,0.6879862344
KCNN4,0.0211,0.7356904787
KLKB1,0.0099,0.6238762904
LAG3,0.0200,0.6667057703
LEP,0.0376,1.3811199986
LHX1,0.0080,0.6811824145
LRCH4,0.0489,0.3656225372
LRP2,0.0244,0.8420412732
MAB21L1,0.0385,0.6373459409
MAGEA5,0.0446,1.2918520004
MAGEB2,0.0406,1.1873761173
MAN2A2,0.0220,0.2705785424
MAPT,0.0500,1.4684643101
MAS1,0.0327,1.4311147128
CHST6,0.0401,0.7960881128
ME1,0.0456,1.9887188546
MET,0.0179,1.396911004
MAP3K10,0.0177,0.4611668759
MLLT6,0.0265,0.3432648896
MMP2,0.0491,1.5461215923
MMP19,0.0206,2.2172582822
MSRA,0.0096,0.2487122348
MUC1,0.0435,0.6295477262
NARS,0.0046,12.661443501
DRG1,0.0491,6.9932600594
NEFH,0.0072,1.3898377834
NFATC2,0.0121,0.5805117909
NHP2L1,0.0356,3.4245314793
NOS2,0.0374,1.4258506606
NRAS,0.0370,3.1570914808
OAS1,0.0455,0.6774304806
OAS2,0.0417,0.7090936873
SERPINB2,0.0115,1.3091763619
PDE6G,0.0475,1.4151740682
GATB,0.0331,3.5103090746
PFKFB3,0.0190,0.4317059015
PHEX,0.0304,0.5926094968
PHF1,0.0290,0.2614090364
PHKG1,0.0484,0.3664544952
PI3,0.0378,1.1633343929
SERPINE2,0.0297,0.6786850239
PKLR,0.0352,1.1716611871
PLTP,0.0438,1.7647970199
PLXNB3,0.0304,0.589648938
PML,0.0318,0.4353919905
PNLIP,0.0308,1.3878547219
PNMT,0.0011,0.4502955612
POU6F1,0.0206,0.4302542381
PPARA,0.0377,4.2648083344
PPBP,0.0111,1.3695855369
PPP1R3D,0.0178,0.4317575116
PPP3CC,0.0222,0.2347378255
PRCP,0.0200,2.8645621946
PRIM2,0.0271,4.404873857
PRKDC,0.0433,2.8349601885
PROC,0.0235,0.6197598853
PROP1,0.0234,1.8431654263
PRPSAP1,0.0358,6.3969895734
PSMA7,0.0106,6.1810563626
PSMB8,0.0403,0.5622467737
TAS2R38,0.0241,1.2994086463
PTH1R,0.0476,1.6452387425
PTN,0.0034,1.9253326111
PURA,0.0383,0.1538183089
PXMP2,0.0495,2.5789454888
RALGDS,0.0307,0.292515835
RFC4,0.0109,6.9412392164
RYK,0.0033,10.766320583
S100A12,0.0418,1.3225855424
SAA3P,0.0406,0.5359905386
ATXN1,0.0207,0.4493172091
SCN2B,0.0198,1.301029128
SCNN1D,0.0302,0.5446380686
SFRP1,0.0066,0.7494445472
SH3GL2,0.0275,0.7614267158
FBXW4,0.0316,0.1916024303
SHH,0.0177,0.5559135978
SIPA1,0.0232,0.4170092577
SLC1A1,0.0359,0.6022339062
SLC5A3,0.0285,0.4007840131
SLC5A4,0.0233,1.3600352024
SLC7A2,0.0076,1.9073846478
SLC16A1,0.0327,2.2895710596
SLN,0.0044,2.0215876751
SNAI2,0.0227,1.657068992
HLTF,0.0225,4.8491818735
SMS,0.0117,3.3215612886
SQLE,0.0322,1.6636504363
AKR1D1,0.0350,1.4792872979
SSTR5,0.0363,1.7418367146
STAT6,0.0258,0.2465091033
NEK4,0.0339,4.5650500409
SVIL,0.0229,0.3216820073
VAMP2,0.0088,0.1776382026
TCEB3,0.0485,3.9162712691
TEP1,0.0125,0.3312461766
TFF3,0.0233,1.41787683
TFRC,0.0401,2.0984709772
TGM4,0.0411,1.6849215725
TIMP4,0.0261,1.4258321075
TRAPPC10,0.0072,0.1163744791
TOP2B,0.0210,5.8230070912
TP53,0.0436,0.2904409929
TRPC3,0.0238,0.6405599823
TRPC4,0.0380,1.6685983202
UBP1,0.0370,5.2003436972
UMPS,0.0493,3.1953935211
COL14A1,0.0486,1.6847840488
UNG,0.0084,5.2918293689
NR1H2,0.0396,0.4739560009
UTRN,0.0342,0.526198061
VRK1,0.0280,4.3858733635
XPO1,0.0025,30.920648984
YES1,0.0013,6.489605357
TRIM26,0.0261,0.2725470759
ZMYM2,0.0281,0.2056628943
ZXDA,0.0323,0.1866949114
NELFE,0.0184,0.4518502858
COIL,0.0391,4.3093769351
MIA,0.0150,0.7385978254
TKTL1,0.0245,1.238243009
HIST1H3I,0.0277,1.6708775853
HIST1H3J,0.0240,1.5981560647
HIST1H4H,0.0480,2.375412538
HIST1H4L,0.0231,1.469997293
PLA2G10,0.0051,0.491425747
BCAR3,0.0229,0.4474192579
FKBP6,0.0462,0.6175770776
RAE1,0.0416,3.0331295312
PRSS12,0.0354,1.4533374787
IFITM1,0.0194,0.5538001842
IRS2,0.0250,0.59825504
EIF3D,0.0449,2.5278164725
SNX4,0.0159,5.3494038169
ADAM19,0.0194,0.6517124996
RIPK1,0.0420,0.1963998755
TNFSF12,0.0454,0.5044052317
TNFSF9,0.0485,0.6889954346
PABPC4,0.0416,2.8227885532
DLK1,0.0165,1.5829981027
SUCLG1,0.0054,6.5151966575
GGH,0.0035,3.8793001246
HCAR3,0.0073,1.8781598047
TSC22D1,0.0269,0.2915204987
ST3GAL5,0.0398,0.5120031405
WASF1,0.0193,2.1092642949
MGAM,0.0297,1.2421227795
HSPB3,0.0134,1.3540214814
ARTN,0.0326,0.5865036387
PAPSS2,0.0290,2.7073828686
USP8,0.0258,0.1656896984
ARHGEF1,0.0031,0.306221309
ZMYM5,0.0020,0.1157145455
DLGAP2,0.0269,1.2380043778
NOG,0.0419,0.8012816039
CPNE6,0.0216,1.4286849902
NRXN3,0.0157,0.7190443093
SNRNP40,0.0460,2.6422251937
PIGL,0.0050,0.1987664224
PIGB,0.0033,0.2113073747
GTPBP1,0.0335,0.2174720276
ENTPD4,0.0420,0.2305553053
NFE2L3,0.0298,0.3434014529
RNF14,0.0167,0.1066286901
KIAA0430,0.0182,0.2157365579
KIAA0355,0.0430,0.0936255033
KIAA0226,0.0499,0.1937178719
USP6NL,0.0074,0.4062585731
SECISBP2L,0.0025,0.1604658433
GINS1,0.0394,2.7435022397
HS3ST3A1,0.0106,0.7234945556
SLC23A1,0.0079,0.1165260067
DOPEY2,0.0342,0.434192432
REC8,0.0028,0.2953296049
KCNE2,0.0410,0.6893764689
SRA1,0.0133,0.1643517325
HCN4,0.0129,0.5574156135
HMGXB4,0.0060,17.583635347
MAMLD1,0.0208,0.4068806421
GPC6,0.0319,0.7279271702
LRPPRC,0.0168,3.8977744806
DHRS2,0.0304,1.3000604513
OLIG2,0.0039,0.7260469551
TRIB1,0.0224,0.4637794628
GPHN,0.0141,7.895335814
SPRY3,0.0272,0.5235182106
SPRY2,0.0028,0.3021072163
TRAIP,0.0488,1.8396776968
DSCR3,0.0440,0.1604192139
TRDN,0.0285,1.306999554
IRF9,0.0074,0.4208570127
NOD1,0.0459,0.3362029192
PGRMC2,0.0322,5.2931426078
ACAA2,0.0076,10.78851003
FBLN5,0.0146,1.7804894767
CCT4,0.0399,4.6936229266
RGS14,0.0338,0.3527800413
IGF2BP3,0.0475,0.743759987
CELF2,0.0255,0.4471265554
CERS1,0.0328,0.7274314378
NFAT5,0.0072,0.1663194592
AHCYL1,0.0298,3.4689179557
FRS2,0.0408,0.1032185507
CFHR3,0.0249,1.8018007322
NPFFR2,0.0111,1.3402744042
LYVE1,0.0044,1.9951579125
GPR75,0.0324,0.3896534373
EHD1,0.0297,0.4987948243
AFG3L2,0.0040,10.792806292
EBNA1BP2,0.0399,2.3728206679
KIF2C,0.0433,1.9852135802
TMSB15A,0.0394,1.5112833505
ATF7,0.0094,0.0407486129
TOPBP1,0.0299,10.863471326
BTN2A1,0.0451,0.269127533
FSTL1,0.0080,1.7369516126
WDHD1,0.0113,4.9179719917
BAZ2A,0.0392,0.2282543051
WBP4,0.0224,0.1500610817
AKAP13,0.0207,0.2265900466
DDX20,0.0384,2.8185766153
MRPL3,0.0493,3.0223269925
DDX19B,0.0370,0.2451048231
KLF12,0.0320,0.446256613
R3HDM2,0.0134,0.213028086
INPP5F,0.0080,0.5002951753
RPIA,0.0363,6.5955809529
SORCS3,0.0119,1.4030194402
TTC39A,0.0124,1.5054651929
MAPKBP1,0.0349,0.2098546629
EXOSC7,0.0200,3.9097984311
KDM1A,0.0337,1.6987433648
MYT1L,0.0106,1.2309461839
MON2,0.0097,0.0420888943
NMNAT2,0.0114,1.6019008959
EMC1,0.0288,3.4425953468
CLASP2,0.0272,2.7170958202
CAMTA2,0.0421,0.1660089079
WDR43,0.0335,7.9192008629
MAPK8IP3,0.0185,0.4111931732
GSE1,0.0131,0.2561755284
CSTF2T,0.0305,0.0929395955
JADE2,0.0180,0.4305251267
VPS39,0.0191,0.1745193526
LARS2,0.0221,7.1836643394
RYBP,0.0322,3.2421988038
CBX6,0.0491,0.55316754
HEY2,0.0408,0.6680367546
SRRM2,0.0321,0.1878538477
ATP6V0A2,0.0260,0.1596433336
HYAL4,0.0100,1.3910871383
CHST5,0.0125,0.6913012433
CCNDBP1,0.0354,0.2807797993
PHLDA3,0.0146,0.562340827
FAM89B,0.0445,0.4432471958
SNHG1,0.0330,1.970476143
CADM1,0.0436,0.6729169265
ANKRD62P1-PARP4P3,0.0430,0.7197067635
IFIT5,0.0351,0.5424388492
TFIP11,0.0476,3.9852583189
TP53TG3,0.0115,1.6310579282
SUN2,0.0469,0.4917032207
FAM149A,0.0123,0.5144633152
CHRDL2,0.0115,1.5834035189
TRIM58,0.0467,1.3466089709
TMEM87A,0.0414,0.3189883618
DNAH1,0.0269,0.4163143968
NGDN,0.0436,4.3472831922
SPATS2L,0.0361,0.4671618652
SERBP1,0.0150,6.5009717288
PHF19,0.0133,0.3721571832
DUX1,0.0077,0.4006980675
SNORD42B,0.0227,2.4882909647
RNVU1-7,0.0044,2.011414216
STEAP1,0.0225,1.5593852935
FOXB1,0.0351,0.6246185291
ATP2C1,0.0146,6.9873316024
GLS2,0.0099,0.2872955737
IL17C,0.0467,0.4874496923
GPR78,0.0489,0.4253500774
NMRK2,0.0128,1.303916486
GNMT,0.0416,0.4327387134
TNFRSF21,0.0154,0.4986634424
RPS6KA6,0.0255,1.5967627479
POLM,0.0111,0.1725971809
CECR5,0.0442,2.561491359
DEXI,0.0337,0.443609674
DCPS,0.0491,0.2570861328
ZC3H7A,0.0451,0.31437527
DDX25,0.0152,1.4569913169
LGALS13,0.0446,0.4795837586
REPIN1,0.0464,0.4164020286
UBN1,0.0105,0.0970532003
MYLPF,0.0119,1.6841297246
GPSM2,0.0328,2.1208607688
PADI1,0.0487,1.1576209029
PILRB,0.0263,0.3393854241
PIK3R4,0.0194,8.6894200739
NSDHL,0.0204,4.7505632169
HEBP1,0.0111,2.6312539185
GMNN,0.0175,7.8909237787
FAM135B,0.0197,0.8354176597
ABHD5,0.0297,4.1821827515
DYNC1LI1,0.0053,5.6945200189
ANKMY1,0.0009,0.1295790665
CEND1,0.0293,0.6477010613
TNFRSF12A,0.0458,0.7339592362
RHCG,0.0368,1.2570665647
RTCB,0.0041,23.472768184
CXXC5,0.0245,0.6142171095
CINP,0.0253,5.3301023506
IL23A,0.0010,0.1767675101
ERGIC3,0.0426,4.13877926
FBXO40,0.0360,1.5822969486
RAPGEF6,0.0339,0.2648196739
KDM3B,0.0375,0.0629313491
GPR87,0.0303,1.3050306715
RAB4B,0.0139,0.3950404626
CNTN5,0.0050,1.4345625442
INO80,0.0101,0.0500507695
PCDHB18,0.0451,0.7131912314
RNF111,0.0493,0.1880440122
TRPM4,0.0495,0.5917605365
BNC2,0.0463,2.1930061055
AHI1,0.0115,0.176111972
NDE1,0.0355,0.3866481857
TRPM7,0.0310,0.2018650466
VPS13C,0.0197,0.25917245
WDR55,0.0352,0.1927422243
CC2D1A,0.0086,0.3760476188
TRMT10C,0.0390,6.4953611547
OXSM,0.0300,3.5092217191
PID1,0.0159,1.7533057662
ANO10,0.0075,6.1307941843
DARS2,0.0306,2.1752870703
KLHL11,0.0482,3.9170315809
PGM2,0.0435,2.4984111303
TMEM140,0.0036,0.1856091503
C19orf66,0.0151,0.2999881648
LSG1,0.0469,6.1589870968
PARL,0.0474,6.5256088621
CHST12,0.0162,0.4573483714
GALNT10,0.0430,0.4038236022
ITLN1,0.0354,1.2874938474
ANKRD10,0.0243,0.3897154984
CCDC94,0.0370,0.2631298526
NDC1,0.0240,2.9176320559
MBD5,0.0224,0.3619333317
DEPDC1B,0.0342,2.4708478281
CSGALNACT1,0.0186,0.4769135405
GABRQ,0.0498,1.2953432431
PCDHGB8P,0.0169,0.3638460758
PCDHB14,0.0144,0.5837409311
PCDHB12,0.0420,0.6887319213
PCDHB10,0.0420,0.6606869266
CTNNBL1,0.0448,4.1859030419
RETN,0.0379,1.4768809806
TMEM167B,0.0491,6.6478110223
MAP3K7CL,0.0159,0.560257988
FEM1C,0.0441,0.2516446834
CCDC47,0.0486,10.757352737
TWSG1,0.0078,4.505195432
LYZL6,0.0322,0.5196632898
LINC00869,0.0145,0.588013693
DANCR,0.0404,1.5947508676
RHBDD2,0.0212,0.3864159762
STAMBPL1,0.0135,0.3863612105
CRAMP1L,0.0413,0.3396839502
KIAA1524,0.0488,2.8621349351
UVSSA,0.0332,0.3532001257
ZBTB4,0.0045,0.3053228933
RDH14,0.0087,7.4037145558
CPNE5,0.0459,0.75156866
ZFYVE28,0.0492,0.5593398903
LY6G5B,0.0407,0.3554958495
EVA1C,0.0167,0.6222286937
HRH4,0.0464,1.7684060494
ZNF350,0.0404,0.1795265631
TMEM35,0.0372,1.5095907064
SLC5A7,0.0054,2.156597186
PROK2,0.0035,1.5841070495
IKZF4,0.0397,0.2498098134
ZMAT3,0.0026,0.2185549339
NDST4,0.0467,1.372944032
GPR135,0.0172,0.4965364158
MICAL1,0.0267,2.4163453433
USP46,0.0023,13.022667461
NT5DC2,0.0248,2.0486440715
MRPS15,0.0279,3.6709211983
MRPS6,0.0274,0.4799151413
MRPL40,0.0492,2.9625690617
WNK3,0.0132,1.922869113
PRR14,0.0458,0.3260877968
C7orf49,0.0147,0.1645439686
METRN,0.0479,0.6077301307
DBNDD1,0.0193,0.7283157224
C7orf25,0.0062,0.1875949318
PRRG4,0.0240,0.7676221032
WDR77,0.0065,4.4739162861
DHX58,0.0379,0.4504116556
FBXL15,0.0396,0.5097769281
ATP13A3,0.0475,2.7025423601
MUL1,0.0399,4.2580140605
GALNT14,0.0365,1.5570639677
FAT4,0.0394,1.9097782586
RHBDF2,0.0265,0.5651587047
QTRTD1,0.0322,3.8205742541
NARS2,0.0173,1.6804795728
TBC1D17,0.0267,0.2941712682
ZNF750,0.0457,1.5452224376
PEAK1,0.0477,5.7602583931
C11orf63,0.0498,0.4649954946
BAALC,0.0227,0.7809194529
ADM2,0.0488,0.7029387638
CNTNAP3,0.0225,0.7498938574
CEP76,0.0326,2.0921212702
OBFC1,0.0180,0.3367847075
ELOVL7,0.0342,1.3335110131
FOXRED2,0.0405,2.222778814
TMEM62,0.0335,0.395573804
LINC00574,0.0374,1.6917338258
SPG11,0.0189,0.2995852193
CCDC92,0.0013,0.218825407
NAA50,0.0237,4.5020782974
KIAA1683,0.0183,0.6001468044
LY6G5C,0.0026,0.4623121012
UPK3B,0.0178,0.5251550313
OR2C3,0.0136,1.2498974041
FAM83D,0.0275,1.8381309422
KAZALD1,0.0385,0.7328312056
TIGD6,0.0258,0.3729783897
TRIM56,0.0128,0.3850651709
SPRY4,0.0080,0.6648784702
SFXN3,0.0401,0.479048062
ELOVL3,0.0484,1.4794274469
LRRC48,0.0370,0.3894399314
COG3,0.0175,0.1692129939
CCM2,0.0151,0.2652658907
ZMIZ2,0.0052,0.3066423826
PRSS27,0.0336,0.546800288
PCDHB19P,0.0351,0.7161774478
TEX35,0.0068,1.6760965211
FLYWCH1,0.0490,0.3326692077
C9orf89,0.0067,0.5030549251
DYDC2,0.0466,0.7403582271
MAML2,0.0277,0.4430135427
FAM71F1,0.0382,0.759060702
CNDP1,0.0317,1.2071449677
POLR2J4,0.0362,0.3113950942
PHF5A,0.0065,9.9195210512
MINA,0.0249,8.0253418948
PARP10,0.0233,0.5910858114
SNORD14E,0.0243,1.5171316331
RGS8,0.0454,0.6626016046
HELZ2,0.0477,0.4980338329
KIAA1755,0.0438,0.6626449736
PPP1R3F,0.0035,0.4652050511
FCHSD1,0.0228,0.1764644739
FAM181A,0.0479,0.6520390225
PHLDB2,0.0102,2.1476479554
VWA5B2,0.0287,0.6098128639
TMEM41A,0.0322,4.170980548
C15orf57,0.0241,0.1793552408
ERI1,0.0354,0.1756973731
MLIP,0.0451,1.2321419947
TRIM41,0.0475,0.4211501749
FMNL3,0.0029,0.1190960871
NUP210L,0.0410,0.5056308105
SESTD1,0.0363,2.8994878115
RNF185,0.0287,5.7717549175
CHMP7,0.0436,0.2832852213
ZC3HAV1L,0.0368,2.2659835737
RIPPLY1,0.0280,0.6898684155
LDHAL6B,0.0348,0.4185448371
ASB16,0.0126,0.1875264943
ARHGAP12,0.0057,0.2227940099
MRAP2,0.0385,0.7202988237
TUBA3E,0.0234,0.5113361914
TEX261,0.0396,4.0279603798
SMIM12,0.0187,8.7139879282
TUBA3D,0.0356,0.4680741767
CMTM1,0.0241,0.394236724
MBD6,0.0101,0.2782684631
PSMG3-AS1,0.0196,0.5264861071
GNRHR2,0.0362,0.2558686609
RHPN1,0.0143,0.5884682698
SMIM19,0.0189,0.4157922712
NOSTRIN,0.0332,1.6129413259
BATF2,0.0270,0.5804953467
LRRC3B,0.0279,1.285982266
TM4SF19,0.0372,1.4115100511
GRIN3B,0.0091,0.4744048745
OLIG1,0.0051,0.6850048564
AGAP2,0.0355,0.5537121191
UBE2J2,0.0253,8.2182120725
GPR62,0.0205,0.4305862578
ZNF641,0.0270,0.10696504
KLHL33,0.0107,0.6490285764
CCDC78,0.0357,0.4624552904
CCDC43,0.0200,4.1872355882
GJD3,0.0450,0.6371704766
ZSWIM7,0.0451,0.2808392682
SWSAP1,0.0448,0.4606743842
WDR88,0.0128,0.302779821
HSPB6,0.0418,1.6249511578
A3GALT2,0.0344,0.6491593715
KLF17,0.0074,0.7500376197
HMGB3P1,0.0422,0.550553974
CCDC58,0.0397,2.9313086848
TMEM42,0.0426,2.7440719793
NUDT16,0.0235,6.8853009441
ADHFE1,0.0127,0.4011598768
FOXR2,0.0365,1.295285552
TRIM69,0.0180,0.6500178761
TRPM6,0.0421,1.5573848114
ITLN2,0.0496,1.1763099813
DNHD1,0.0050,0.2580072725
C12orf66,0.0180,0.2837430639
FAM216B,0.0304,0.7570591938
LINC00637,0.0494,0.6282025954
HAPLN3,0.0273,0.5540708049
TTBK2,0.0085,0.1848692925
CMTM2,0.0249,0.381077355
CAPN12,0.0369,0.5252683373
LINC00662,0.0111,1.744982744
ATP8B3,0.0171,0.5321279159
SYT6,0.0027,0.7484323892
CNIH3,0.0419,0.7195808595
PLB1,0.0025,2.368823775
GPR155,0.0129,0.6212119099
PPM1L,0.0466,1.993999504
MB21D2,0.0075,2.2112065099
C3orf30,0.0488,1.4519523659
AMOTL1,0.0422,0.4413085528
FEZF1-AS1,0.0051,2.0818862168
C7orf66,0.0030,1.7054816129
CRYGN,0.0074,0.6159763919
CLVS1,0.0435,1.6428329548
RHOXF1,0.0448,1.5921892833
FAM122C,0.0139,0.3085832008
C12orf50,0.0062,0.61200508
DENND5B,0.0145,0.3032547681
TMEM229B,0.0062,0.4838129109
SYNE3,0.0326,0.5538953715
FITM1,0.0379,0.6643701732
REM2,0.0144,0.5154794757
CSNK1A1P1,0.0242,0.5210197692
ODF3L1,0.0168,0.6938445263
ADAD2,0.0431,1.4976585564
CALML6,0.0151,0.449545186
CCDC71L,0.0486,0.5692906541
PPP1R18,0.0402,0.4902426591
ALMS1P,0.0293,1.4462519727
FBXO15,0.0442,0.6967898153
TIGD4,0.0345,0.6103675978
SLC44A5,0.0428,1.3497191327
TMEM254-AS1,0.0154,2.2571118684
ENKUR,0.0350,0.7191655805
TYSND1,0.0178,0.4458876712
SPATA13,0.0114,0.4941198312
CES5A,0.0083,1.4980497226
SLC35F1,0.0403,0.8402715577
PXT1,0.0220,0.566456906
DEFB124,0.0470,0.6869688613
TMEM9,0.0452,2.167966098
TECRL,0.0139,1.4541901877
SLC25A30,0.0422,0.4374856426
KCTD13,0.0150,0.4187117354
TMEM256,0.0250,2.9754162086
COL24A1,0.0084,1.750887719
RPS2P32,0.0278,0.5315093491
EML3,0.0390,0.2060790115
SERPINA11,0.0030,1.7603231289
TCERG1L,0.0263,0.792613839
MDGA1,0.0354,0.695802229
SLC25A45,0.0326,0.3954199236
OLFML1,0.0290,2.4549142375
B4GALNT3,0.0364,0.6899692742
BRICD5,0.0120,0.3639518302
SLC13A5,0.0066,0.5681351253
SYPL2,0.0379,0.7592401652
ANKRD34A,0.0477,0.5766497512
RUSC1-AS1,0.0227,3.9217432995
CYP4V2,0.0054,0.42442938
CRIPAK,0.0396,0.6935949502
EFCAB9,0.0253,0.6376265107
RELL2,0.0273,0.3295810678
LCN12,0.0388,0.7231994938
HCAR2,0.0051,1.9145854588
ESPNL,0.0461,1.3416650626
KY,0.0115,1.4713974424
NAT8L,0.0284,0.7368000974
MYLK4,0.0341,0.7655522826
KIAA1875,0.0443,0.5082556946
CYP26C1,0.0325,0.6662119206
FREM2,0.0322,0.8437040547
NANOS3,0.0032,0.6252261089
OR2W3,0.0387,1.3512629937
OR2T8,0.0187,1.4232267854
EVX2,0.0344,0.4459933683
LINC00883,0.0126,1.9659994911
FAM71F2,0.0339,0.5491281439
GPR144,0.0480,1.2519081995
IGFBPL1,0.0201,1.5712787673
TUBB2B,0.0149,0.4574697313
CLEC18A,0.0028,0.6755790995
LINC00265,0.0158,0.4378955444
MRPL42P5,0.0055,0.4823344167
DND1,0.0442,0.4256415852
LRRC37A3,0.0222,0.5027170018
HSD11B1L,0.0126,0.2945354338
TRIM73,0.0149,0.5940142623
PTAR1,0.0250,0.2937036297
RPS10P7,0.0196,0.4669948541
SLC6A10P,0.0453,1.1483470844
LRRC37A6P,0.0024,0.4017361699
PTCHD3P1,0.0384,0.7057820028
GOLGA2P7,0.0025,0.5022150331
LINC01138,0.0390,0.527265274
TSPYL6,0.0311,0.4692292668
LIN28B,0.0082,1.2288746818
C9orf153,0.0059,0.5380314416
UBE2NL,0.0155,1.7390753366
OR3A4P,0.0314,1.2808596253
KRT39,0.0073,0.5344550502
FRRS1,0.0213,2.2811532111
OR1K1,0.0329,0.6769567169
LINC00999,0.0029,0.3198907815
LINC00938,0.0322,0.3701276355
LINC00548,0.0353,0.5540309768
VMAC,0.0405,0.5166438026
NCMAP,0.0415,0.6854721477
LINC01000,0.0016,0.1016464864
CTXN1,0.0180,0.6085298767
MIRLET7A1,0.0334,0.648003472
MIR154,0.0151,1.6356675251
MIR198,0.0476,1.5342643494
MIR204,0.0473,0.5034683343
MIR222,0.0103,0.5519219331
AGAP6,0.0125,0.2675820898
SMCO3,0.0387,1.5489589712
UBL7-AS1,0.0495,1.8522483856
PTCHD4,0.0228,0.7469324656
SPDYE5,0.0310,0.2989173973
MIR369,0.0186,1.8739841973
C8orf22,0.0046,1.4974094911
A1BG-AS1,0.0175,0.3789046409
MIR4435-1HG,0.0440,1.712297356
DUSP5P1,0.0494,0.7040349613
ADAMTSL4-AS1,0.0478,0.6075520732
SERINC4,0.0283,0.3501408372
FDPSP2,0.0472,0.5555565427
SNORD72,0.0368,1.625595758
SNORD2,0.0394,2.6843483363
TSC22D1-AS1,0.0074,0.4682315222
ECSCR,0.0331,2.5323934632
TRIM49C,0.0152,0.4127474965
ZNF862,0.0064,0.2786619866
CNTNAP3P2,0.0139,0.6780725903
CCDC154,0.0019,0.2831903456
SPATA31C2,0.0224,1.2350666536
C19orf67,0.0050,0.4460492919
ZAR1L,0.0314,0.5708687801
GOLGA8T,0.0419,0.7027970535
SNHG20,0.0220,1.9816556347
SNORD1B,0.0212,1.7129533986
SNORD112,0.0010,1.6624088651
MIR33B,0.0344,0.5352145274
MIR598,0.0162,0.6500822291
MIR626,0.0044,0.4349729084
MIR628,0.0424,0.6568888892
MIR661,0.0458,0.6472658411
MAFIP,0.0369,0.6581906916
FAM156B,0.0371,0.6980521447
GOLGA8O,0.0481,0.5254712483
AGAP10,0.0249,0.3014819313
SDHAP3,0.0371,0.435108056
