hgnc_symbol,PFS  HR,PFS P-Value
SERPINA3,0.9091841637,0.0250
CD8A,0.8681402547,0.0308
CD19,0.8924280173,0.0374
CD27,0.7145819531,0.0176
CD36,1.2680727842,0.0255
CD38,0.8583727276,0.0160
ENTPD5,2.0791637023,0.0346
CD40LG,0.7787490512,0.0165
CD69,0.8268749564,0.0250
CD70,0.8478398105,0.0450
CD79A,0.8925429792,0.0448
CD97,0.5634023914,0.0052
CDA,1.2181706442,0.0164
CDH4,1.1579451814,0.0141
CDH18,1.1060698938,0.0258
CDK8,1.9983654675,0.0335
CDR2,0.5464843517,0.0189
CEACAM5,1.1055849735,0.0177
CELP,0.847019907,0.0320
CEACAM7,1.1754615474,0.0143
CHRM2,1.0937746552,0.0306
CHRNA7,1.2897309952,0.0006
CIDEA,1.1555339083,0.0077
CCR5,0.8053137928,0.0264
CNTFR,1.1590340814,0.0133
COL4A3,0.64233918,0.0011
COL4A4,0.8180060072,0.0156
COL4A6,1.1506262743,0.0429
COL9A3,0.8531319671,0.0041
COL19A1,0.91748019,0.0488
CORT,1.3108424607,0.0369
CPA1,1.2310137813,0.0257
CPT1B,0.6967027811,0.0362
CSF2RA,0.7459171602,0.0130
CSPG4,0.8029947785,0.0101
CSRP1,0.690089316,0.0406
CST2,1.1279727376,0.0087
CST3,0.5248927423,0.0023
CTLA4,0.7306323195,0.0011
CTSL,1.3081291002,0.0471
CTSV,1.2366638853,0.0019
CTSLP8,1.1801813386,0.0012
CYLD,0.5709348617,0.0043
CYP2C19,1.0930006209,0.0349
DGKA,0.607835885,0.0075
DGKG,0.6857770233,0.0035
DDB1,2.0034074402,0.0422
DEFB1,1.1226496767,0.0088
DES,1.1426210635,0.0131
DGUOK,0.3614787982,0.0051
DHCR24,1.3247976927,0.0064
NQO1,1.4091160571,0.0022
DIAPH1,0.5180970951,0.0335
SEPT1,0.7786454488,0.0445
DLG3,0.652056124,0.0152
DLST,2.8923608596,0.0044
DLX5,1.2044512678,0.0226
DNAH9,0.8910409154,0.0413
DYNC1H1,1.903556144,0.0487
DNMT3B,1.432482516,0.0295
DXO,0.5358720698,0.0251
DRD3,0.7953653688,0.0309
ATN1,0.5667090217,0.0358
DSC3,1.0701658797,0.0354
DSP,1.1072201937,0.0403
SLC26A2,0.7814372294,0.0383
DUSP4,0.7759994604,0.0334
DUSP5,0.7506436929,0.0112
DUSP9,1.1562914984,0.0224
EFNB1,1.3300647725,0.0148
EGF,0.8768850752,0.0396
SERPINB1,0.6559165305,0.0488
ELK1,0.7263164709,0.0333
ELK2AP,0.9206426674,0.0294
ELK3,0.5623457931,0.0461
EMD,0.4858557768,0.0397
DMTN,0.768563659,0.0265
EPHA5,1.1276037647,0.0174
EPHX1,2.0075596253,0.0024
CLN8,0.5525616658,0.0491
ERCC4,0.5238464341,0.0141
ERN1,0.5224891727,0.0212
ESR1,0.7311020156,0.0228
ETV1,0.7617375316,0.0293
ETV4,0.7781443317,0.0243
ETV6,0.4780968454,0.0393
EVI2A,0.6619666133,0.0355
EVPL,1.0907400779,0.0237
EXTL2,1.5684730999,0.0407
FABP3,1.4530691235,0.0122
ACSL4,0.516652758,0.0070
PTK2B,0.7195051529,0.0445
FBLN1,1.2638438687,0.0474
FAT2,1.1882213342,0.0256
FBN2,0.7518366688,0.0189
FCGR1B,0.8176812851,0.0254
FCGR2A,0.7201454215,0.0107
FDX1,1.8140246822,0.0340
FGF1,0.7935442948,0.0058
FGF2,0.7088780972,0.0014
FGFR3,1.1108310883,0.0377
FOXC1,0.7646885328,0.0013
FOXD2,0.792586702,0.0029
FUT3,1.12973225,0.0262
FYB,0.7881036785,0.0298
GABPB1,0.4373204789,0.0448
GABRA4,1.1401385892,0.0280
GAD2,1.1605491824,0.0281
GAK,0.3826081562,0.0065
GBP1,0.7277058748,0.0062
GBP2,0.6852277209,0.0025
GBP3,0.7181346432,0.0060
GBX2,1.2865679272,0.0020
GCG,1.2258537735,0.0418
NR6A1,1.2946932927,0.0443
GDNF,0.8924645496,0.0132
GHRH,1.278727997,0.0102
GIPR,0.7111675661,0.0055
GK3P,0.6115985751,0.0424
GLB1,2.3819198317,0.0314
GLS,0.5007879459,0.0475
GLUD2,0.6133554321,0.0052
GLUD1P3,0.5689491658,0.0236
GM2A,1.4491208197,0.0126
GMFB,2.2449682435,0.0119
GMPR,1.1465366356,0.0482
GNAI1,1.392481455,0.0164
GNAI3,2.31646665,0.0117
GNG7,0.7947944174,0.0341
GNS,0.7345389265,0.0466
GP1BA,0.7295169455,0.0227
GP5,0.7707736814,0.0104
CXCR3,0.7862914486,0.0108
UTS2R,0.8142786197,0.0283
GPR22,0.6095485686,0.0279
GPR27,1.1921422907,0.0135
GPR35,0.6954468511,0.0055
GPR37,0.8690968539,0.0116
GRK5,0.5670828247,0.0100
GRB7,1.1151134222,0.0380
GRIA1,1.107612207,0.0272
GRIA4,0.8184688624,0.0385
GRIK1,0.720101338,0.0486
GSR,0.5316801889,0.0480
GSTM2,1.4215596869,0.0381
GSTM3,1.3821280459,0.0074
GSTM4,1.7373356354,0.0313
GSTP1,1.6769049435,0.0016
GUSB,0.5436360516,0.0372
GZMH,0.8622363107,0.0396
GZMA,0.8123376683,0.0163
GZMB,0.8159003066,0.0016
HADH,2.0505691941,0.0139
HIC1,0.7533141871,0.0324
HIP1,0.6347894814,0.0169
HIVEP2,0.6725493631,0.0232
HLA-C,0.7072668295,0.0155
HLA-H,0.7807305607,0.0463
HMGCS2,1.0984750191,0.0252
HOXD8,0.6655299611,0.0025
AGFG2,0.5389455683,0.0051
HRC,1.2722501663,0.0232
HSPA6,0.7600223931,0.0018
HSPA7,0.78837685,0.0096
HTR4,0.7976308099,0.0103
ICA1,0.5737475627,0.0047
ID4,0.8149696539,0.0487
IDS,0.392572413,0.0004
IDUA,0.7406354893,0.0472
CFI,0.8156693777,0.0191
IFI35,0.6207514928,0.0020
SP110,0.5889863689,0.0029
IFNA22P,0.8081357331,0.0247
IFNAR2,0.4932525728,0.0036
IFNG,0.8662595576,0.0173
IGLL1,0.8588421982,0.0212
IL1RAP,0.7557421193,0.0265
IL2RB,0.8115159976,0.0292
CXCR2P1,0.8888865635,0.0363
IL12A,0.6542979736,<.0001
IL15,0.8140584622,0.0362
IL15RA,0.7576688014,0.0246
TNFRSF9,0.8815170109,0.0444
IMPA2,1.2672387864,0.0420
INHA,0.7674983449,0.0029
INSL3,0.8551953676,0.0381
IRF1,0.7823390078,0.0380
IRF2,0.4582807023,0.0015
ISG20,0.8395217197,0.0494
ISL1,1.1106349675,0.0205
ITGA2,0.6879306813,0.0075
ITGB3,0.7888623931,0.0007
ITGB7,0.7202847809,0.0420
ITPKB,1.4661756471,0.0245
ITPR2,0.6693564185,0.0264
ITPR3,0.7232391537,0.0310
JAK2,0.7322436021,0.0370
JAK3,0.7928660385,0.0368
JUP,1.2592872771,0.0196
KCNA10,1.1430557471,0.0366
KCNJ10,0.8496950376,0.0124
KCNJ11,0.8544700215,0.0411
KEL,0.7394562099,0.0047
KLKB1,0.8068180367,0.0122
KLRC1,0.8765981993,0.0430
KLRC2,0.8064708329,0.0029
KLRC3,0.8064221931,0.0053
KLRD1,0.845904808,0.0181
KRT4,1.0987089942,0.0480
KRT13,1.1455278728,0.0080
KRT19,1.1146506151,0.0139
KRT31,1.1016444065,0.0338
LAG3,0.7497276815,0.0021
LAMA4,0.6588677617,0.0115
LCP2,0.7793523365,0.0264
LEP,1.1938481765,0.0046
LGALS7,1.1056448679,0.0416
LIF,0.8306850836,0.0093
LIMK1,0.7207007972,0.0495
LIMK2,0.7155371056,0.0381
LIMS1,0.6899886798,0.0489
LOR,1.0826005306,0.0214
LRP4,1.2121732697,0.0281
LTA,0.8493992923,0.0162
SH2D1A,0.8149243191,0.0051
EPCAM,1.1405025004,0.0184
MAB21L1,0.7967110197,0.0160
MAGOH,2.1566768942,0.0241
MANBA,0.6431270709,0.0494
MAOA,1.2479193631,0.0265
MAP1A,0.6818942651,0.0146
MAT2A,1.9515089592,0.0127
MBD1,0.5377623425,0.0238
ADAM11,1.2553406843,0.0229
MDM2,0.6289568208,0.0466
MEF2A,0.511171497,0.0135
MAP3K5,0.6299469424,0.0122
MFAP2,1.2427950404,0.0078
MFGE8,0.7366777976,0.0069
SCGB2A2,1.0939414591,0.0328
MGST1,1.1980987781,0.0058
MID1,1.4922668923,0.0062
CXCL9,0.8761642343,0.0212
MITF,1.30624869,0.0319
MLLT6,0.6327869028,0.0419
TRPM1,1.1592944965,0.0009
MMP16,0.8075568785,0.0010
MNAT1,2.3300885479,0.0151
MOCS2,0.6519478728,0.0353
MPL,1.3786862814,0.0487
MSX2,1.216121404,0.0298
MUC7,1.1199786938,0.0034
NAB1,0.3863543864,0.0126
CEACAM6,1.087303691,0.0347
NDUFB8,0.5431415161,0.0443
NEDD9,0.6883957261,0.0374
NELL2,0.8482019057,0.0448
NFATC2,0.6826773922,0.0113
NFKB1,0.3493363122,0.0065
NFKB2,0.6216500418,0.0214
NFKBIE,0.5703920846,0.0050
NFRKB,2.0096652009,0.0498
NFYC,2.5280276775,0.0384
NKG7,0.8045693357,0.0063
NPY6R,0.8309151887,0.0407
YBX1,1.9859690769,0.0098
NTRK1,0.7143851463,0.0091
NUP88,0.3951784657,0.0164
NR4A2,0.7430752783,0.0197
GPR143,1.1707020274,0.0052
OCA2,1.1170280906,0.0104
TNFRSF11B,0.837007304,0.0299
OPRM1,0.8067074095,0.0162
PAEP,1.0932035201,0.0296
PAM,0.7263088219,0.0296
PAX5,0.8995488034,0.0288
PBX3,0.7079811196,0.0288
PCM1,0.4766226219,0.0239
PCSK2,1.1000265256,0.0274
PDCD1,0.8337495503,0.0238
PDE3A,1.1862221572,0.0195
PDE4A,0.6684259913,0.0287
PDE6G,1.3609707553,0.0017
PDE1B,0.6878872321,0.0425
PDK1,0.6845189556,0.0264
SLC26A4,0.803064525,0.0183
SERPINF1,1.3636063182,0.0112
PENK,1.1266625652,0.0345
PHEX,0.6566323383,0.0008
PHF1,0.5358182455,0.0326
PHKB,0.4898454398,0.0352
SERPINB5,1.0659415766,0.0454
SERPINE2,0.7539146809,0.0006
PIK3C2G,1.0868750455,0.0197
PKLR,1.1138991547,0.0341
PKP1,1.0824375773,0.0210
PLAT,0.8197301589,0.0403
PLCB3,1.6713322585,0.0257
PLGLB2,0.82507982,0.0254
PLGLB1,0.7376857114,0.0075
PLXNB3,0.8527420591,0.0391
PNOC,0.8394625419,0.0208
PML,0.6137650275,0.0348
PMP2,0.9134209599,0.0316
SEPT5,1.3148701994,0.0473
POU2AF1,0.8718422327,0.0114
POU6F1,0.5917280609,0.0068
PPARG,1.3185825623,0.0401
PPM1A,1.987668342,0.0393
PPP2R2B,0.7641494168,0.0035
PPP3CC,0.3677086424,0.0005
PRF1,0.8354228557,0.0186
PRKACB,0.7173467561,0.0486
PRKAR1A,0.7081806143,0.0403
PRKCG,0.8317789863,0.0045
PRKCQ,0.8298363873,0.0466
MAPK9,0.4633329471,0.0277
PROX1,0.7653143472,0.0160
PRRG2,1.2132367187,0.0283
PRSS1,0.8591885033,0.0322
KLK7,1.0702588654,0.0351
PRSS8,1.2404882406,0.0134
KLK10,1.1048733513,0.0274
PSEN1,2.2221317803,0.0476
PSG9,1.077471026,0.0362
PSMB8,0.6211617295,0.0091
PSMB9,0.7222917667,0.0121
PTK7,1.4040305841,0.0107
PTPN7,0.789144064,0.0276
PTPN12,0.6840978485,0.0270
PTPRCAP,0.8197313411,0.0425
PTPRF,1.3648902302,0.0024
PTPRZ1,0.7782847666,0.0011
ABCD3,1.924780427,0.0130
RAB3A,1.9212245833,0.0006
RAC1,0.5453437025,0.0186
RAD51B,1.9899161698,0.0053
RAP2B,1.4944146766,0.0452
RASA1,0.5631702291,0.0211
RASA2,0.5415566296,0.0148
KDM5A,0.3011874096,0.0192
RELB,0.6655306914,0.0299
RFC4,1.9193231013,0.0295
RNASEL,0.550032738,0.0123
RP9,0.566970476,0.0275
RPGR,0.5467017969,0.0082
RPL23A,0.6429747953,0.0415
RPS6KA3,0.5548890883,0.0234
RTN1,0.781133652,0.0243
RYR2,0.8447177542,0.0262
S100A1,0.8755392169,0.0376
S100A4,0.8449788435,0.0344
S100B,0.8867783888,0.0378
SATB1,0.698985932,0.0063
ATXN1,0.3906261585,0.0011
SCN2B,1.1519497121,0.0150
SCN10A,1.1473258103,0.0284
SCNN1A,1.1261214986,0.0356
SCP2,2.133678192,0.0057
CCL3L3,0.8369614435,0.0343
CCL4,0.8140014181,0.0122
CCL5,0.8647764984,0.0447
CCL18,1.1378134102,0.0467
CX3CL1,0.8028765832,0.0236
SH3GL3,1.142992048,0.0318
SHBG,0.7758749431,0.0328
SHOX2,0.7996065593,0.0435
ST6GAL1,0.7275702132,0.0120
PMEL,1.1390695781,0.0159
SLC1A4,1.4175366352,0.0046
SLC1A6,1.1273048754,0.0391
SLC2A1,1.3281328087,0.0160
SLC5A1,1.0857147024,0.0296
SLC6A2,1.0993528913,0.0403
SLC6A11,1.1130309672,0.0189
SLC7A1,1.4796368321,0.0456
SLC8A3,1.1451153703,0.0243
SLC15A1,1.1009154905,0.0105
SLC16A1,1.7310687721,0.0115
SNAI2,1.5532208653,0.0005
SMARCA2,0.516437493,0.0220
SMARCD1,0.4817096567,0.0279
SMN2,0.7152193188,0.0076
SNAP25,1.1780731308,0.0373
SNAPC1,2.2167621478,0.0060
SNRPE,1.4597535228,0.0350
SNRPN,0.6867723048,0.0123
SOAT1,1.5353603901,0.0211
CAPN15,0.6019732563,0.0376
SORD,1.4726509239,0.0291
SP100,0.5894633615,0.0044
SQLE,1.3545194594,0.0154
SRP19,0.5588494078,0.0493
SSR4,0.4959749454,0.0163
SSTR1,1.1839925553,0.0366
SSTR2,0.7309349878,0.0270
STAT1,0.7567926385,0.0351
STAT3,0.2860687899,0.0001
STAT5B,0.4385489071,0.0168
AURKC,0.6321954202,0.0006
VAMP1,0.6269010457,0.0359
VAMP2,0.4501376071,0.0058
TAF5,1.9570461052,0.0433
TAF12,0.7250180417,0.0491
TAP1,0.7482071065,0.0274
TAP2,0.6859161194,0.0370
TAPBP,0.441901119,0.0004
TAZ,0.5773153406,0.0493
ZEB1,0.7353548665,0.0390
TCTE3,0.7176974534,0.0171
TFDP1,2.0535615491,0.0162
TFF3,1.3076802296,0.0004
TGFB2,1.3959476656,0.0008
TGM3,1.0998936641,0.0206
TIMP1,0.7615659142,0.0251
TLL2,0.7967956864,0.0151
TLR1,0.6813274956,0.0116
TSPAN7,0.8773432641,0.0412
TOP1P1,0.6680255817,0.0217
TP53,0.5204261154,0.0038
TP53BP1,0.4365638112,0.0241
TRAF1,0.6605704587,0.0004
HSP90B2P,0.4621340471,0.0033
TRH,1.2404642626,0.0111
TRPC1,0.7327876636,0.0430
TRPC3,0.7066601315,0.0013
TTC4,2.2009186767,0.0279
TTN,0.7566303122,0.0499
TUB,1.2535642244,0.0494
TUFT1,1.3687707988,0.0132
TNFSF4,0.6962413623,0.0137
TYRP1,1.1062541645,0.0044
U2AF1,0.6291118184,0.0027
UBA7,0.610375669,0.0039
UBE2H,0.5514352998,0.0152
UBE3A,0.3355279654,0.0123
UGT2B7,0.9286972498,0.0367
UROD,1.7993512612,0.0280
UTRN,0.5550278556,0.0030
VDR,0.7546113527,0.0364
VRK1,1.753636305,0.0418
VRK2,0.4127728768,0.0016
WIPF1,0.6128239809,0.0026
WRN,0.5450197564,0.0422
XBP1,0.7448954156,0.0438
YY1,2.7314666819,0.0363
ZBTB14,0.4875131278,0.0107
ZIC1,1.1671334818,0.0151
ZNF18,0.5099125657,0.0001
ZKSCAN1,0.6041777521,0.0217
ZNF80,0.8480588108,0.0185
ZNF136,0.5680314704,0.0133
TRIM26,0.5910988547,0.0443
RNF113A,0.6532352575,0.0103
ZNF185,1.2898063931,0.0307
ZFAND5,2.2270294789,0.0492
ZNF217,0.6117146273,0.0412
SLC30A4,0.6686008228,0.0320
ZXDA,0.6588802384,0.0025
NPHS2,1.1387790875,0.0466
MALL,1.3278260454,0.0103
MAFK,0.677911513,0.0167
KAT6A,0.4607686002,0.0162
NR4A3,1.2934099582,0.0128
BRD3,0.5270871761,0.0426
KMT2D,0.3732833039,0.0132
NPRL3,0.5294649581,0.0398
MIA,0.8613555694,0.0307
TKTL1,1.2831127929,0.0001
TRRAP,0.4637897767,0.0442
KLRC4,0.8359148584,0.0180
AXIN2,1.2776102553,0.0162
EOMES,0.827744772,0.0142
FZD6,0.7020483136,0.0123
GFI1B,1.1595231171,0.0499
OR3A3,1.234170125,0.0451
CMAHP,0.7515863137,0.0323
CUL4B,0.5040726378,0.0210
FOXN1,1.0772497336,0.0438
GPR65,0.8020668046,0.0319
KCNAB2,1.3319639779,0.0277
ITGA10,0.8611198274,0.0124
GAS7,0.689231012,0.0052
CYP4F2,1.1029459353,0.0397
COPS3,0.5404607897,0.0314
CHST1,0.8547363577,0.0324
PPFIA3,1.3005287402,0.0417
APOL1,0.7699553076,0.0307
CDC14B,1.8832148242,0.0065
TMEFF1,1.7551755205,0.0028
LY6D,1.0949638835,0.0257
CDK13,0.3343784389,0.0045
SKAP1,0.8549441019,0.0359
NCOA1,0.4968756158,0.0250
SOCS1,0.8467011252,0.0313
VAMP4,0.6472280986,0.0481
BECN1,0.3541600609,0.0128
SRSF9,0.5313128865,0.0452
GALNT4,0.6547842979,0.0197
B3GALT1,0.8445634174,0.0047
MBTPS1,0.4442779365,0.0267
ADAM19,0.7097970842,0.0032
CRADD,0.5865651383,0.0003
TNFRSF10B,0.6324031408,0.0014
TRIM24,0.5055707809,0.0306
GGH,1.5989671971,0.0036
DLEU2,0.6195740016,0.0025
KAT2B,0.6528128476,0.0071
PER3,1.4016980462,0.0416
TAX1BP1,0.5106747845,0.0106
EIF2B3,2.6017732442,0.0020
BUD31,0.4361264402,0.0084
SGCE,0.642538885,0.0016
SNURF,0.6867416701,0.0123
CDK5R2,1.229060176,0.0279
SNORD73A,0.6545539329,0.0057
CHRNA6,0.8811574824,0.0303
WASL,0.4930130464,0.0040
TNFSF18,0.8134518379,0.0261
BAZ1B,0.4715062541,0.0072
PSTPIP1,0.7830176824,0.0363
MAP7,1.2526804578,0.0271
SLC13A2,1.1520674176,0.0283
USP8,0.4722192398,0.0462
FCGR2C,0.8263855968,0.0314
NMI,0.5848062767,0.0012
SLC16A6,1.2292324211,0.0121
RABEP1,0.4070727078,0.0330
ARHGEF1,0.6027248697,0.0189
SCAF11,0.4620160105,0.0294
HTR3B,1.1807897335,0.0142
ARHGEF2,0.6825074992,0.0400
SLC24A1,0.5995824438,0.0326
KCNAB3,0.6467841502,0.0016
DCLK1,1.2608158728,0.0282
DLGAP2,1.2101585449,0.0091
CCPG1,0.6342834176,0.0372
BZRAP1,0.8156621982,0.0312
STK17A,0.5469556897,0.0010
BCL7B,0.4082521793,0.0009
TRIP12,0.2751100665,0.0053
B4GALT6,0.7556043938,0.0165
RAB28,0.556487659,0.0497
OTOF,0.8548672203,0.0463
GRAP2,0.7770435935,0.0059
LPXN,0.7053608813,0.0223
NTN1,1.1777366651,0.0465
AIM2,0.8615513154,0.0325
EIF2AK3,0.511691475,0.0266
ARHGEF6,0.7457599884,0.0214
IL27RA,0.734917095,0.0181
PIGL,0.5825018741,0.0144
FXR2,0.5058253644,0.0149
GAL3ST1,0.9094514025,0.0480
BAG3,0.5826262224,0.0180
IGDCC3,1.1692026573,0.0110
MRPL33,0.6501241513,0.0457
C14orf2,1.9217535709,0.0337
CCL4L1,0.8296959404,0.0249
GTPBP1,0.4778270306,0.0064
CDC42BPB,2.3446930234,0.0056
PREPL,0.5497114542,0.0415
ENTPD4,0.4826145868,0.0325
CREB5,0.7847051438,0.0145
PDIA4,0.6080647107,0.0123
NCOR1,0.2642200924,0.0016
GDA,1.1054218225,0.0424
CELSR1,1.2440661722,0.0405
SEC24C,0.3593673853,0.0416
CLCA2,1.0787584765,0.0485
LPIN2,0.6508412245,0.0472
KIAA0430,0.4507081902,0.0370
IPO13,1.826878659,0.0178
KIAA0040,0.7029736378,0.0075
KDM4A,2.7422915093,0.0033
EDEM1,0.4943750842,0.0015
GPRIN2,1.1365807451,0.0452
DOCK4,0.5751383453,0.0032
SART3,0.2670707319,0.0082
GPRASP1,0.6034104561,0.0180
ACAP1,0.7590547522,0.0091
PHACTR2,0.5246711709,0.0004
TOX,0.7978740395,0.0090
SERTAD2,0.4506987982,0.0038
SPOCK2,0.8094748823,0.0485
KIAA0125,0.9003305634,0.0425
ELMO1,0.7257597244,0.0149
PJA2,0.4452432176,0.0034
SEC24D,0.466872197,0.0064
LRRC37A,0.7615565587,0.0471
TECPR2,1.692428916,0.0280
PAN2,0.542074283,0.0098
DCLRE1A,0.5847505117,0.0361
HS3ST2,1.1249950135,0.0442
BCL2L11,0.6145125443,0.0012
SH2B3,0.7103276951,0.0324
GNE,0.4951851837,0.0439
PARP2,2.7218129487,0.0061
DNAJB6,0.5487538034,0.0331
AP1M2,1.1153931765,0.0264
ABCC5,2.1562992511,0.0078
HUWE1,0.3144886856,0.0492
USH1C,1.135650447,0.0260
ARPC1B,0.6994750634,0.0208
TSPAN2,0.7652590182,0.0267
RASGRP1,0.7105754079,0.0189
YAF2,0.5658105179,0.0325
AKAP9,0.5554773163,0.0198
EBI3,0.8263265998,0.0167
PDZK1IP1,1.1128379926,0.0114
FARP1,1.4515790155,0.0223
ZNF197,1.8369595944,0.0441
OLIG2,0.8901964705,0.0256
CD96,0.8397835989,0.0476
GPHN,2.3978706536,0.0028
DENND4A,0.5700902793,0.0391
STAG1,0.4077229733,0.0278
BET1,0.6454683316,0.0392
SNAPC5,0.4539440203,0.0160
KLHL41,1.3708869389,0.0450
TLR6,0.7118233811,0.0073
BTN3A3,0.7182466087,0.0329
CORO2B,0.8415736491,0.0498
NOD1,0.4748935099,0.0113
PRMT5,1.7783710619,0.0415
TESK2,1.4298954937,0.0298
CD2BP2,0.5936762637,0.0098
OLFM1,1.2739007419,0.0094
FAM3C,0.5855214775,0.0077
BAIAP2,1.751595004,0.0050
COG5,0.4653487641,0.0085
ZNHIT1,0.6481877567,0.0427
TRIM38,0.5151760067,0.0326
SEMA4D,0.7747785308,0.0411
IPO8,0.5526984238,0.0498
SLC19A2,1.7954592506,0.0042
OLFM4,1.1666071605,0.0016
SCGN,1.2819067344,0.0002
RBCK1,0.6636191834,0.0436
ARID3B,0.7102232753,0.0244
IGF2BP3,0.7797099393,0.0062
KHDRBS3,0.7454084855,0.0113
TNFSF13B,0.7326165728,0.0073
GNB5,0.5470540081,0.0021
PTTG2,0.7646196933,0.0180
PHTF1,0.589730271,0.0289
TOB2,1.7183595192,0.0390
AHCYL1,3.6033334638,<.0001
VAMP5,0.6656668295,0.0283
CCR9,0.7654318161,0.0445
TUBGCP2,0.5285325785,0.0498
SLC26A1,0.7096141612,0.0071
ARID5A,0.556109236,0.0007
TSPAN9,1.4750629036,0.0168
C1QL1,0.8410292558,0.0172
TRAFD1,0.3566726113,0.0028
SPIN1,2.2552982896,0.0300
EHD1,0.6391800782,0.0368
UGT2A1,1.1378468396,0.0494
MSL3,0.4859174884,0.0329
EBNA1BP2,1.6480479183,0.0353
ADIRF,1.2620643195,0.0460
SLC27A4,1.4305466255,0.0400
SPINK5,1.1152017382,0.0128
KLK11,1.0871159328,0.0236
ATF7,0.3474898116,0.0151
TDRKH,0.6500103062,0.0385
RIPK3,0.7944357495,0.0434
PIM2,0.7367130418,0.0089
PAPD7,0.215736863,0.0043
DUS4L,0.601568182,0.0211
SOX30,0.7198125355,0.0018
NUPL2,0.4808487666,0.0178
HIBADH,0.6006522302,0.0240
BTN3A1,0.6916049198,0.0207
FAF1,2.4156327065,0.0231
PKIG,0.6182535481,0.0048
BVES,0.8232431832,0.0496
FICD,0.6881428867,0.0055
RABL2B,0.5838026219,0.0055
C14orf1,1.7755312617,0.0064
NUDT6,0.5752526251,0.0004
NUDT4,0.6309603874,0.0267
WDHD1,1.8267941267,0.0150
ADAMTS6,0.7813354579,0.0485
BAZ2A,0.1808270925,0.0004
PKP3,1.0979078081,0.0362
WBP4,0.4874668388,0.0349
KLK8,1.087860942,0.0287
IRAK3,0.7723206038,0.0329
AKAP13,0.4950157936,0.0232
AKAP10,0.4433749801,0.0219
DDX20,2.0222781252,0.0471
SP140,0.827810131,0.0289
PRR4,0.7328012082,0.0369
USP18,0.8333627469,0.0201
KLHL2,0.5584618542,0.0319
FKBP9,0.6447951565,0.0137
ATF5,0.7229057248,0.0468
MTF2,1.9495010006,0.0453
CHSY1,0.6085732296,0.0309
ATG14,1.7624937542,0.0494
R3HDM2,0.3701008761,0.0096
INPP5F,0.7571368056,0.0338
KLRK1,0.7307521604,0.0014
MSRB2,1.728647962,0.0211
MAPRE3,0.6714288256,0.0183
PTGR1,1.9160894656,0.0009
TRIM32,2.632365782,0.0055
MAST1,1.317155219,0.0093
TTC39A,1.3406443339,0.0008
KLHDC10,0.535519832,0.0298
GOLGA8A,0.6785368541,0.0175
EXOSC7,3.2606040776,0.0004
PDZRN3,1.3106579896,0.0462
KDM1A,1.5043778102,0.0232
UHRF1BP1L,0.4472437035,0.0109
TTLL5,2.5027925849,0.0174
IQSEC2,0.6209967228,0.0237
FSTL4,1.1801026299,0.0161
FRMD4B,2.1197310777,0.0017
SNX13,0.4370098857,0.0040
RCOR1,4.7847229144,0.0001
UBXN4,0.2604125504,0.0009
PSME4,0.3862768426,0.0166
SULF1,0.7975432165,0.0158
